iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2012 1 1 0 -999 -999 -999 -999 -999 6.7046 93.5718 11.5262 99.7100 0.1099 0.0000 -999 364.1657 -999 -999 -999 -999 -999 -999 -999
2012 1 2 0 -999 -999 -999 -999 -999 6.7046 93.5718 11.5262 99.7100 0.1099 0.0000 -999 364.1657 -999 -999 -999 -999 -999 -999 -999
2012 1 3 0 -999 -999 -999 -999 -999 6.7046 93.5718 11.5262 99.7100 0.1099 0.0000 -999 364.1657 -999 -999 -999 -999 -999 -999 -999
2012 1 4 0 -999 -999 -999 -999 -999 6.6757 93.4269 11.4006 99.6892 0.0000 0.0000 -999 363.1762 -999 -999 -999 -999 -999 -999 -999
2012 1 5 0 -999 -999 -999 -999 -999 6.6266 93.3811 11.1882 99.6707 0.0000 0.0000 -999 361.9409 -999 -999 -999 -999 -999 -999 -999
2012 1 6 0 -999 -999 -999 -999 -999 6.5774 93.3177 10.9757 99.6523 0.0000 0.0000 -999 360.2055 -999 -999 -999 -999 -999 -999 -999
2012 1 7 0 -999 -999 -999 -999 -999 6.5171 93.2252 10.7878 99.6440 0.0000 0.0000 -999 358.2159 -999 -999 -999 -999 -999 -999 -999
2012 1 8 0 -999 -999 -999 -999 -999 6.4457 93.1077 10.6247 99.6457 0.0000 0.0000 -999 356.8103 -999 -999 -999 -999 -999 -999 -999
2012 1 9 0 -999 -999 -999 -999 -999 6.3742 92.9776 10.4615 99.6475 0.0000 10.5304 -999 356.5925 -999 -999 -999 -999 -999 -999 -999
2012 1 10 0 -999 -999 -999 -999 -999 6.2714 92.4432 10.4046 99.6232 0.1045 19.8933 -999 356.9785 -999 -999 -999 -999 -999 -999 -999
2012 1 11 0 -999 -999 -999 -999 -999 6.1372 91.5182 10.4539 99.5727 0.1045 27.1517 -999 356.0714 -999 -999 -999 -999 -999 -999 -999
2012 1 12 0 -999 -999 -999 -999 -999 6.0030 90.5990 10.5031 99.5222 0.1045 30.1301 -999 352.5341 -999 -999 -999 -999 -999 -999 -999
2012 1 13 0 -999 -999 -999 -999 -999 5.9718 91.1816 10.5197 99.4268 0.9430 30.9327 -999 347.6598 -999 -999 -999 -999 -999 -999 -999
2012 1 14 0 -999 -999 -999 -999 -999 6.0437 93.2602 10.5037 99.2865 0.9430 28.9568 -999 344.3321 -999 -999 -999 -999 -999 -999 -999
2012 1 15 0 -999 -999 -999 -999 -999 6.1156 95.3366 10.4877 99.1462 0.9430 21.3297 -999 344.1501 -999 -999 -999 -999 -999 -999 -999
2012 1 16 0 -999 -999 -999 -999 -999 6.2921 96.2277 10.3021 99.0556 3.2422 10.8299 -999 345.5670 -999 -999 -999 -999 -999 -999 -999
2012 1 17 0 -999 -999 -999 -999 -999 6.5733 95.8890 9.9471 99.0148 3.2422 0.0000 -999 344.9783 -999 -999 -999 -999 -999 -999 -999
2012 1 18 0 -999 -999 -999 -999 -999 6.8544 95.4862 9.5920 98.9739 3.2422 0.0000 -999 340.3105 -999 -999 -999 -999 -999 -999 -999
2012 1 19 0 -999 -999 -999 -999 -999 6.7825 94.5460 9.0681 98.9793 0.3561 0.0000 -999 333.5690 -999 -999 -999 -999 -999 -999 -999
2012 1 20 0 -999 -999 -999 -999 -999 6.3573 92.8647 8.3755 99.0310 0.3561 0.0000 -999 325.9341 -999 -999 -999 -999 -999 -999 -999
2012 1 21 0 -999 -999 -999 -999 -999 5.9322 90.8176 7.6828 99.0827 0.3561 0.0000 -999 316.4822 -999 -999 -999 -999 -999 -999 -999
2012 1 22 0 -999 -999 -999 -999 -999 5.6811 89.6537 7.2661 99.1190 0.0000 0.0000 -999 306.1066 -999 -999 -999 -999 -999 -999 -999
2012 1 23 0 -999 -999 -999 -999 -999 5.6041 89.6638 7.1255 99.1398 0.0000 0.0000 -999 298.5393 -999 -999 -999 -999 -999 -999 -999
2012 2 0 0 -999 -999 -999 -999 -999 5.5271 89.6663 6.9848 99.1607 0.0000 0.0000 -999 296.6840 -999 -999 -999 -999 -999 -999 -999
2012 2 1 0 -999 -999 -999 -999 -999 5.3094 89.8717 6.5929 99.1979 0.0000 0.0000 -999 297.7321 -999 -999 -999 -999 -999 -999 -999
2012 2 2 0 -999 -999 -999 -999 -999 4.9509 90.1892 5.9496 99.2515 0.0000 0.0000 -999 298.3588 -999 -999 -999 -999 -999 -999 -999
2012 2 3 0 -999 -999 -999 -999 -999 4.5924 90.3658 5.3063 99.3051 0.0000 0.0000 -999 298.1282 -999 -999 -999 -999 -999 -999 -999
2012 2 4 0 -999 -999 -999 -999 -999 4.5194 90.7717 4.9171 99.3400 0.0000 0.0000 -999 297.4619 -999 -999 -999 -999 -999 -999 -999
2012 2 5 0 -999 -999 -999 -999 -999 4.7320 91.5274 4.7817 99.3562 0.0000 0.0000 -999 296.5218 -999 -999 -999 -999 -999 -999 -999
2012 2 6 0 -999 -999 -999 -999 -999 4.9445 92.2901 4.6464 99.3724 0.0000 0.0000 -999 295.0249 -999 -999 -999 -999 -999 -999 -999
2012 2 7 0 -999 -999 -999 -999 -999 5.0782 92.3477 4.4471 99.4118 0.0000 0.0000 -999 293.2450 -999 -999 -999 -999 -999 -999 -999
2012 2 8 0 -999 -999 -999 -999 -999 5.1333 91.6525 4.1837 99.4742 0.0000 0.0000 -999 288.7587 -999 -999 -999 -999 -999 -999 -999
2012 2 9 0 -999 -999 -999 -999 -999 5.1883 90.8994 3.9204 99.5366 0.0000 57.6042 -999 278.7678 -999 -999 -999 -999 -999 -999 -999
2012 2 10 0 -999 -999 -999 -999 -999 5.4863 88.9003 4.0388 99.5921 0.0000 110.7906 -999 265.9788 -999 -999 -999 -999 -999 -999 -999
2012 2 11 0 -999 -999 -999 -999 -999 6.0272 85.7935 4.5390 99.6405 0.0000 150.0408 -999 257.1287 -999 -999 -999 -999 -999 -999 -999
2012 2 12 0 -999 -999 -999 -999 -999 6.5682 82.8070 5.0392 99.6890 0.0000 160.9459 -999 256.2902 -999 -999 -999 -999 -999 -999 -999
2012 2 13 0 -999 -999 -999 -999 -999 6.7831 78.7898 5.5279 99.7506 0.0000 157.4423 -999 259.5243 -999 -999 -999 -999 -999 -999 -999
2012 2 14 0 -999 -999 -999 -999 -999 6.6718 73.8448 6.0052 99.8253 0.0000 142.7037 -999 260.3766 -999 -999 -999 -999 -999 -999 -999
2012 2 15 0 -999 -999 -999 -999 -999 6.5605 69.1430 6.4824 99.9000 0.0000 105.1143 -999 256.3846 -999 -999 -999 -999 -999 -999 -999
2012 2 16 0 -999 -999 -999 -999 -999 6.4531 68.3324 6.4430 99.9590 0.0000 55.9091 -999 249.9301 -999 -999 -999 -999 -999 -999 -999
2012 2 17 0 -999 -999 -999 -999 -999 6.3495 71.3414 5.8870 100.0022 0.0000 0.0000 -999 244.9418 -999 -999 -999 -999 -999 -999 -999
2012 2 18 0 -999 -999 -999 -999 -999 6.2458 74.4944 5.3310 100.0455 0.0000 0.0000 -999 242.9356 -999 -999 -999 -999 -999 -999 -999
2012 2 19 0 -999 -999 -999 -999 -999 6.1680 76.6104 5.0540 100.0805 0.0000 0.0000 -999 242.4453 -999 -999 -999 -999 -999 -999 -999
2012 2 20 0 -999 -999 -999 -999 -999 6.1160 77.5768 5.0560 100.1074 0.0000 0.0000 -999 244.2816 -999 -999 -999 -999 -999 -999 -999
2012 2 21 0 -999 -999 -999 -999 -999 6.0639 78.5435 5.0580 100.1343 0.0000 0.0000 -999 250.8501 -999 -999 -999 -999 -999 -999 -999
